gender,education,house_val,age,online,customer_psy,marriage,child,occupation,mortgage,house_owner,region,car_prob,fam_income,name,email
F,Some College,159007,<=45,N,G,Single,U,Professional,1Low,Renter,South,8,D,Virginia Harris,Virginia.Harris@mail.com
M,Bach,195382,<=55,Y,A,Single,U,Professional,1Low,Owner,Midwest,1,F,Larry Schilling,Larry.Schilling@mail.com
M,HS,194211,<=55,Y,I,Married,U,Professional,1Low,Owner,South,2,E,Earl Powers,Earl.Powers@mail.com
M,HS,53142,<=65,N,J,,Y,Blue Collar,1Low,Owner,Midwest,8,E,Michael Shellum,Michael.Shellum@mail.com
F,HS,104825,<=55,Y,E,Married,Y,Blue Collar,1Low,Owner,Midwest,7,E,Sandra Butler,Sandra.Butler@mail.com
M,Bach,346075,>65,Y,C,Married,U,Sales/Service,1Low,Owner,South,2,F,Edward Young,Edward.Young@mail.com
F,Some College,295281,<=45,N,F,Married,Y,Blue Collar,1Low,Owner,South,3,E,Tammy Berglund,Tammy.Berglund@mail.com
M,Bach,0,<=55,Y,A,Single,N,Sales/Service,1Low,Renter,Midwest,5,B,Victor Tidwell,Victor.Tidwell@mail.com
M,Some College,246400,NaN,N,A,Single,U,Professional,1Low,,West,8,K,Alexander Henson,Alexander.Henson@mail.com
M,HS,128758,NaN,N,G,Single,U,Blue Collar,1Low,Renter,Northeast,5,D,Anthony Ellsworth,Anthony.Ellsworth@mail.com
F,HS,0,<=65,N,E,Single,N,Professional,1Low,Renter,Midwest,6,D,Pamela Hotton,Pamela.Hotton@mail.com
M,Some College,401545,<=65,Y,C,,U,Professional,1Low,Owner,Northeast,1,G,Daniel Mann,Daniel.Mann@mail.com
M,<HS,173637,>65,Y,I,Married,N,Retired,1Low,Owner,Midwest,1,K,Robert Liptrot,Robert.Liptrot@mail.com
F,HS,299396,<=45,Y,C,Married,Y,Sales/Service,2Med,Owner,South,1,E,Teri Francis,Teri.Francis@mail.com
M,<HS,421120,<=45,N,E,Married,Y,Blue Collar,1Low,,West,7,B,Herman Nicolosi,Herman.Nicolosi@mail.com
M,Grad,192101,<=65,Y,B,Married,N,Professional,2Med,Owner,South,1,L,Dave Williamson,Dave.Williamson@mail.com
F,Bach,544455,>65,Y,B,,N,Retired,2Med,Owner,South,1,J,Kathleen Malone,Kathleen.Malone@mail.com
F,HS,0,>65,N,B,,N,Retired,1Low,Owner,South,2,H,Geraldine Lott,Geraldine.Lott@mail.com
F,HS,336330,NaN,Y,D,Married,N,Sales/Service,1Low,Owner,Northeast,3,E,Jasmine Ziola,Jasmine.Ziola@mail.com
M,Bach,159706,<=45,N,E,Married,Y,Farm,2Med,Owner,South,2,E,Juan Marler,Juan.Marler@mail.com
F,Some College,0,>65,Y,J,,U,Retired,1Low,Owner,West,4,E,Anna Gonzales,Anna.Gonzales@mail.com
M,Grad,241718,>65,Y,D,Married,N,Retired,1Low,Owner,West,4,D,Gayle Gaughan,Gayle.Gaughan@mail.com
F,Grad,285751,<=35,Y,A,Single,Y,Sales/Service,1Low,Owner,West,2,F,Teresa Prude,Teresa.Prude@mail.com
F,Grad,174127,>65,Y,H,Married,N,Professional,1Low,Owner,West,4,C,Leigh Melanson,Leigh.Melanson@mail.com
M,HS,63743,<=45,N,I,Single,Y,Blue Collar,1Low,Owner,South,4,B,Joseph Barbour,Joseph.Barbour@mail.com
M,Some College,186144,NaN,N,A,Married,N,Professional,1Low,Owner,Midwest,6,D,John Shumate,John.Shumate@mail.com
F,Some College,172050,<=25,Y,C,,Y,Sales/Service,1Low,Owner,Midwest,2,H,Holly Neumaier,Holly.Neumaier@mail.com
M,HS,225739,>65,Y,D,Married,N,Blue Collar,2Med,Owner,South,1,F,Toby Jacobs,Toby.Jacobs@mail.com
F,Some College,0,NaN,Y,G,Married,U,Others,1Low,,West,8,C,Linda Ford,Linda.Ford@mail.com
M,Some College,0,<=35,N,G,Married,Y,Blue Collar,1Low,Renter,Midwest,9,A,Sanford Emery,Sanford.Emery@mail.com
M,Bach,310203,NaN,Y,E,,N,Others,1Low,Owner,South,2,A,Richard Madsen,Richard.Madsen@mail.com
M,Some College,145100,<=35,N,F,Married,N,Sales/Service,1Low,Owner,Northeast,4,D,Norman Scarpello,Norman.Scarpello@mail.com
M,<HS,1000000,>65,Y,F,,Y,Retired,3High,Owner,West,5,I,Mark Marsala,Mark.Marsala@mail.com
M,Some College,381143,NaN,Y,C,,Y,Others,2Med,Owner,South,2,G,Charles Williams,Charles.Williams@mail.com
F,Some College,440817,<=25,Y,C,,Y,Others,3High,Owner,West,3,F,Mayra Bonilla,Mayra.Bonilla@mail.com
M,Grad,128620,<=25,Y,C,Married,U,Sales/Service,1Low,Owner,South,2,F,Robert Kuttner,Robert.Kuttner@mail.com
M,Bach,463675,<=35,Y,C,Married,Y,Professional,2Med,Owner,South,1,K,Harvey Whipkey,Harvey.Whipkey@mail.com
F,Bach,75733,<=55,N,F,Married,Y,Professional,1Low,Owner,South,2,F,Laura Hallowell,Laura.Hallowell@mail.com
M,Grad,674448,<=65,Y,C,Married,Y,Professional,2Med,Owner,South,1,I,James Rubinstein,James.Rubinstein@mail.com
M,Bach,189823,<=35,Y,E,Married,Y,Professional,1Low,Owner,Midwest,2,G,Warren King,Warren.King@mail.com
M,Grad,0,<=35,N,G,,N,Professional,1Low,Renter,Northeast,3,C,Jeffrey Delorenzo,Jeffrey.Delorenzo@mail.com
M,Grad,666121,NaN,Y,A,Single,U,Professional,3High,Owner,South,4,F,Pedro Mcgough,Pedro.Mcgough@mail.com
M,Bach,253098,<=55,Y,C,Married,Y,Professional,1Low,Owner,South,4,G,Rodney Broughton,Rodney.Broughton@mail.com
F,HS,343241,<=65,N,I,Married,N,Professional,3High,Owner,South,2,E,Sharon Wilson,Sharon.Wilson@mail.com
F,HS,0,<=55,Y,J,Married,N,Blue Collar,1Low,Owner,Northeast,8,D,Suzanne Mero,Suzanne.Mero@mail.com
M,Grad,1926575,<=35,Y,B,Married,N,Professional,1Low,Owner,Northeast,1,L,Eugene West,Eugene.West@mail.com
U,Grad,777606,NaN,N,B,,U,Professional,1Low,,South,1,I,Carolyn Hanson,Carolyn.Hanson@mail.com
F,<HS,41202,<=55,N,I,,Y,Professional,1Low,Renter,West,6,B,Carmella Downs,Carmella.Downs@mail.com
F,<HS,0,>65,Y,H,,N,Retired,1Low,,Midwest,7,B,Katherine Daniels,Katherine.Daniels@mail.com
M,Some College,0,NaN,N,G,Single,N,Sales/Service,1Low,Renter,Midwest,9,C,Clifford Neal,Clifford.Neal@mail.com
M,HS,0,<=55,N,J,Married,Y,Sales/Service,1Low,Owner,West,7,F,Sean Randolph,Sean.Randolph@mail.com
M,Bach,468754,<=55,Y,C,Married,Y,Professional,2Med,Owner,Northeast,2,F,Sidney Battey,Sidney.Battey@mail.com
F,<HS,312480,>65,Y,E,,N,Retired,1Low,,South,2,C,Vina Pearson,Vina.Pearson@mail.com
F,Some College,185409,<=25,Y,B,Single,U,Sales/Service,2Med,Owner,South,5,F,Georgia Hudson,Georgia.Hudson@mail.com
M,Some College,162400,NaN,N,F,Married,U,Blue Collar,1Low,,South,8,E,Donald Verch,Donald.Verch@mail.com
M,<HS,116415,NaN,Y,C,,Y,Blue Collar,1Low,Owner,South,2,E,John Prather,John.Prather@mail.com
M,Some College,157292,<=45,Y,C,Married,Y,Blue Collar,1Low,Owner,South,3,E,Stephen Atkinson,Stephen.Atkinson@mail.com
F,HS,161865,<=55,Y,G,Single,U,Sales/Service,1Low,Owner,Northeast,4,E,Sherri Young,Sherri.Young@mail.com
F,HS,0,NaN,N,E,Married,Y,Sales/Service,1Low,Owner,Midwest,5,G,Lorna Bailey,Lorna.Bailey@mail.com
F,HS,181288,<=45,Y,E,Married,Y,Blue Collar,1Low,Owner,Northeast,2,E,Myrtis Taber,Myrtis.Taber@mail.com
M,Some College,375232,<=35,N,C,Married,Y,Professional,1Low,Renter,South,1,H,William Selvester,William.Selvester@mail.com
F,HS,96736,<=55,Y,J,,Y,Blue Collar,1Low,Owner,South,6,C,Pamela Whitley,Pamela.Whitley@mail.com
F,Grad,0,<=45,N,J,Single,Y,Sales/Service,1Low,Owner,South,4,E,Maria Mantini,Maria.Mantini@mail.com
M,Some College,0,<=65,Y,B,Married,N,Professional,1Low,Owner,Midwest,5,G,Joseph Alaniz,Joseph.Alaniz@mail.com
F,Bach,933912,<=45,Y,C,Married,Y,Professional,3High,Owner,West,1,J,Yolanda White,Yolanda.White@mail.com
F,Grad,365487,<=35,Y,C,Married,Y,Professional,3High,Owner,South,2,F,Lyla Travillian,Lyla.Travillian@mail.com
M,Grad,763708,<=55,Y,C,Married,Y,Professional,3High,Owner,Northeast,1,J,Ryan Fernandez,Ryan.Fernandez@mail.com
U,Grad,494053,<=55,Y,B,,N,Professional,1Low,Owner,West,1,I,Tammy Cappello,Tammy.Cappello@mail.com
M,HS,150452,NaN,Y,E,,Y,Professional,1Low,Renter,Midwest,1,E,Nathaniel Smith,Nathaniel.Smith@mail.com
M,Bach,158899,<=65,Y,B,Married,N,Blue Collar,1Low,Owner,Midwest,2,F,Ted Harvey,Ted.Harvey@mail.com
F,Bach,0,<=55,Y,E,Single,N,Blue Collar,1Low,Renter,Northeast,3,H,Marsha Katz,Marsha.Katz@mail.com
F,Some College,229770,<=45,Y,B,,N,Others,1Low,Owner,South,1,E,Celia Smyer,Celia.Smyer@mail.com
M,Bach,405916,<=35,Y,C,Married,Y,Professional,3High,Owner,Midwest,1,G,Joseph Williams,Joseph.Williams@mail.com
M,Bach,552869,<=45,Y,B,Married,Y,Blue Collar,3High,Owner,South,1,F,Andy Mayer,Andy.Mayer@mail.com
M,Bach,471425,<=45,Y,C,Married,Y,Professional,3High,Owner,South,1,G,Elmer Robinson,Elmer.Robinson@mail.com
M,Some College,161865,<=55,N,A,Single,U,Professional,1Low,Owner,South,6,E,Ryan Omalley,Ryan.Omalley@mail.com
F,Some College,243778,<=65,Y,B,Married,Y,Sales/Service,2Med,Owner,West,2,F,Delia Perez,Delia.Perez@mail.com
M,<HS,425645,>65,Y,D,Married,N,Retired,1Low,Owner,South,1,C,Joshua Medina,Joshua.Medina@mail.com
F,HS,112815,<=25,Y,G,,Y,Others,1Low,Owner,West,8,B,Esperanza Cruz,Esperanza.Cruz@mail.com
M,<HS,0,NaN,Y,I,,N,Others,1Low,Owner,South,1,C,Maurice Holden,Maurice.Holden@mail.com
M,<HS,153690,NaN,N,G,,U,Sales/Service,1Low,Renter,West,8,C,Phillip Lay,Phillip.Lay@mail.com
M,Bach,196470,<=55,Y,C,Married,Y,Professional,1Low,Owner,Midwest,3,K,Alex Maloney,Alex.Maloney@mail.com
M,<HS,156241,<=55,N,F,Single,U,Professional,1Low,Renter,South,8,D,Mark Marriott,Mark.Marriott@mail.com
M,Bach,664900,<=35,Y,C,Married,Y,Professional,3High,Owner,Northeast,1,L,John Quarles,John.Quarles@mail.com
F,Bach,209312,>65,Y,G,,U,Professional,1Low,Renter,Northeast,9,E,Jennifer Goodsite,Jennifer.Goodsite@mail.com
M,<HS,248520,>65,Y,B,,N,Retired,1Low,Owner,Midwest,2,G,Anthony Henley,Anthony.Henley@mail.com
M,Bach,188526,<=55,Y,G,Single,Y,Sales/Service,1Low,Renter,South,4,D,Edwin Torres,Edwin.Torres@mail.com
F,Some College,0,<=25,N,G,Single,U,Sales/Service,1Low,,South,6,A,Norma Shade,Norma.Shade@mail.com
M,HS,289158,NaN,N,C,Married,Y,Professional,3High,Owner,South,5,F,Paul Mcdermott,Paul.Mcdermott@mail.com
M,Some College,133988,NaN,Y,I,,N,Others,1Low,Owner,South,5,C,Steve Lafave,Steve.Lafave@mail.com
M,Some College,415944,<=25,N,C,Married,Y,Sales/Service,3High,Owner,South,1,J,Calvin Beighley,Calvin.Beighley@mail.com
F,HS,190379,<=55,Y,F,Married,U,Sales/Service,1Low,Owner,Midwest,8,E,Amber Aleo,Amber.Aleo@mail.com
M,Bach,300927,<=25,Y,B,,Y,Sales/Service,2Med,Owner,South,2,F,John Escalante,John.Escalante@mail.com
M,<HS,185354,<=55,Y,B,Married,N,Sales/Service,1Low,Owner,Midwest,4,G,Patrick Gay,Patrick.Gay@mail.com
M,Grad,358065,<=55,N,G,Single,Y,Blue Collar,1Low,Renter,West,3,E,Donn Hicks,Donn.Hicks@mail.com
U,Grad,0,<=45,N,A,Single,U,Professional,1Low,Renter,Midwest,3,E,Donna Douglas,Donna.Douglas@mail.com
M,Bach,235701,<=35,Y,C,Married,Y,Professional,2Med,Owner,South,2,E,Matthew Stevens,Matthew.Stevens@mail.com
M,Grad,672660,<=55,Y,C,Married,Y,Professional,3High,Owner,South,1,J,Richard Martinez,Richard.Martinez@mail.com
F,Bach,392792,<=65,Y,B,Married,Y,Sales/Service,2Med,Owner,Northeast,3,H,Robin Best,Robin.Best@mail.com
M,Bach,144959,<=45,N,F,Married,U,Professional,1Low,Owner,South,3,B,Mickey Robbins,Mickey.Robbins@mail.com
M,HS,0,<=65,Y,E,Married,Y,Blue Collar,1Low,Owner,Midwest,6,E,Virgil Powell,Virgil.Powell@mail.com
M,Some College,146332,NaN,Y,I,,N,Retired,1Low,Owner,Midwest,5,D,Nicholas Kizer,Nicholas.Kizer@mail.com
F,Grad,1717927,<=55,Y,B,,Y,Professional,3High,Owner,South,1,L,Monique Eldridge,Monique.Eldridge@mail.com
M,Bach,576217,<=35,Y,C,Married,U,Professional,3High,Owner,West,1,E,Michael Pederson,Michael.Pederson@mail.com
F,Grad,238666,<=65,Y,C,Married,N,Sales/Service,2Med,Owner,South,2,F,Stephanie King,Stephanie.King@mail.com
F,<HS,2827536,>65,Y,B,,Y,Retired,1Low,Owner,Northeast,1,L,Martha Hood,Martha.Hood@mail.com
U,<HS,137760,<=65,N,J,,N,Sales/Service,1Low,Owner,South,4,C,Maria Gonzales,Maria.Gonzales@mail.com
F,HS,0,NaN,Y,F,,Y,Blue Collar,1Low,Renter,South,5,E,Barbara Kitchens,Barbara.Kitchens@mail.com
F,Some College,0,<=25,Y,E,,Y,Sales/Service,1Low,Renter,South,3,G,Lorraine Kaltz,Lorraine.Kaltz@mail.com
M,Some College,275770,<=35,N,F,Married,Y,Sales/Service,3High,Owner,South,7,E,Michael Amado,Michael.Amado@mail.com
F,<HS,0,<=35,N,G,Single,N,Sales/Service,1Low,Renter,South,9,A,Melissa Brixey,Melissa.Brixey@mail.com
F,Some College,154560,<=45,N,J,Married,Y,Others,1Low,Renter,South,2,A,Patsy Luten,Patsy.Luten@mail.com
M,HS,790686,<=45,Y,E,Married,Y,Blue Collar,3High,Owner,West,1,A,John Aupperle,John.Aupperle@mail.com
F,HS,251942,<=55,Y,E,,N,Blue Collar,1Low,Owner,Midwest,5,F,Margaret Castillo,Margaret.Castillo@mail.com
M,HS,100258,<=35,N,F,Single,U,Blue Collar,1Low,Renter,South,8,E,Robert Devaughn,Robert.Devaughn@mail.com
F,Some College,257785,<=25,Y,E,,Y,Sales/Service,1Low,Owner,West,5,G,Tashia Hernandez,Tashia.Hernandez@mail.com
F,HS,126352,<=55,Y,I,Married,Y,Blue Collar,1Low,Owner,South,5,E,Pamela Ingram,Pamela.Ingram@mail.com
F,HS,126843,>65,Y,J,,Y,Retired,1Low,Owner,South,6,F,Pamela Crosby,Pamela.Crosby@mail.com
F,Bach,931841,<=35,Y,C,Married,Y,Professional,3High,Owner,West,2,K,Hermine Reed,Hermine.Reed@mail.com
M,HS,158289,NaN,Y,F,,Y,Blue Collar,1Low,Owner,Midwest,7,F,Johnathan Mcintosh,Johnathan.Mcintosh@mail.com
F,Some College,556227,<=55,Y,D,Married,N,Sales/Service,2Med,Owner,West,1,B,Doris Byrd,Doris.Byrd@mail.com
F,Some College,476112,<=55,Y,E,Married,U,Sales/Service,3High,Owner,West,3,F,Tammy Warren,Tammy.Warren@mail.com
F,HS,0,<=65,Y,G,Single,N,Professional,1Low,Renter,South,4,D,Vickie Davenport,Vickie.Davenport@mail.com
M,Bach,436021,<=55,Y,C,Married,Y,Professional,1Low,Renter,West,1,H,Charles Pleasant,Charles.Pleasant@mail.com
F,<HS,0,<=25,Y,U,,0,Sales/Service,1Low,,South,0,U,Gail Schuster,Gail.Schuster@mail.com
F,Some College,252247,<=25,Y,C,,Y,Sales/Service,1Low,Owner,South,8,G,Delois Huber,Delois.Huber@mail.com
F,Bach,132451,<=35,N,E,,Y,Sales/Service,1Low,Renter,Northeast,5,G,Marybeth Carpio,Marybeth.Carpio@mail.com
F,<HS,0,NaN,N,A,,U,Sales/Service,1Low,,Northeast,9,D,Eva Petruzzelli,Eva.Petruzzelli@mail.com
M,Some College,390290,<=35,Y,C,Married,Y,Professional,3High,Owner,Northeast,2,F,Andre Roesch,Andre.Roesch@mail.com
F,Some College,260701,<=45,Y,C,Married,Y,Professional,2Med,Owner,West,2,E,Anne Patterson,Anne.Patterson@mail.com
F,Some College,150420,<=55,Y,C,Married,U,Professional,1Low,Owner,South,1,F,Elizabeth Jones,Elizabeth.Jones@mail.com
F,HS,15301,NaN,N,G,Single,Y,Sales/Service,1Low,Renter,South,9,B,Vicki Lobendahn,Vicki.Lobendahn@mail.com
M,HS,76518,<=55,Y,F,Married,Y,Blue Collar,1Low,Owner,Midwest,5,E,Michael Cargill,Michael.Cargill@mail.com
M,Bach,291847,<=45,Y,I,Married,U,Farm,3High,Owner,Midwest,1,E,Charlie Walsh,Charlie.Walsh@mail.com
M,Some College,43301,NaN,N,I,,U,Professional,1Low,Owner,West,9,D,Lance Evans,Lance.Evans@mail.com
M,HS,32612,<=45,Y,J,Married,Y,Blue Collar,1Low,Owner,South,3,E,Ray Meadows,Ray.Meadows@mail.com
M,Grad,148419,<=55,Y,E,Married,U,Professional,1Low,Owner,Midwest,5,G,Gary Zinzow,Gary.Zinzow@mail.com
M,Grad,0,>65,Y,B,Married,N,Retired,1Low,Owner,Northeast,2,H,Darnell Hatcher,Darnell.Hatcher@mail.com
F,Some College,264862,<=45,N,B,,N,Sales/Service,1Low,Renter,Midwest,1,H,Nicole Lampley,Nicole.Lampley@mail.com
M,Grad,486020,>65,Y,B,Married,N,Retired,1Low,Owner,Midwest,1,L,Mark Norris,Mark.Norris@mail.com
M,HS,67710,>65,Y,D,Married,N,Retired,1Low,Owner,South,4,D,Martin Minor,Martin.Minor@mail.com
M,<HS,933912,<=35,Y,D,,N,Professional,1Low,Owner,South,2,E,Paul Hughes,Paul.Hughes@mail.com
M,HS,234350,<=35,N,C,Married,Y,Sales/Service,1Low,Renter,South,2,D,Frederick Hamilton,Frederick.Hamilton@mail.com
M,Bach,1421621,<=55,Y,C,Married,Y,Professional,3High,Owner,West,1,H,James Hemenway,James.Hemenway@mail.com
M,Some College,0,<=25,N,E,Single,Y,Sales/Service,1Low,Renter,South,9,D,Albert Demora,Albert.Demora@mail.com
F,Some College,213727,<=35,Y,J,Married,Y,Professional,1Low,Owner,South,5,C,Katherine Cardella,Katherine.Cardella@mail.com
F,Some College,273372,<=35,Y,B,,Y,Sales/Service,1Low,Owner,South,3,E,Andria Zepp,Andria.Zepp@mail.com
M,HS,49704,<=25,N,F,,Y,Blue Collar,1Low,Owner,South,9,E,Harry Lawson,Harry.Lawson@mail.com
M,Bach,594050,<=55,Y,C,Married,Y,Professional,1Low,Owner,Rest,1,C,Carl Harmon,Carl.Harmon@mail.com
F,Some College,0,<=55,Y,G,,N,Sales/Service,1Low,Renter,South,9,A,Doris Kelly,Doris.Kelly@mail.com
F,Some College,313876,<=65,Y,B,Married,N,Sales/Service,1Low,Owner,South,2,F,Lisa Vadenais,Lisa.Vadenais@mail.com
F,Some College,335720,<=25,Y,C,,Y,Professional,3High,Owner,Northeast,1,I,Dorothy Reay,Dorothy.Reay@mail.com
M,Bach,378775,NaN,N,E,Married,N,Professional,1Low,,South,1,A,Roger Jones,Roger.Jones@mail.com
M,HS,8284,<=45,N,G,,U,Blue Collar,1Low,,Midwest,8,B,Danny Villanveva,Danny.Villanveva@mail.com
F,Bach,0,<=45,N,G,Single,U,Professional,1Low,Renter,West,7,E,Kimberly Payne,Kimberly.Payne@mail.com
M,Bach,146757,>65,Y,E,Married,Y,Retired,1Low,Owner,Midwest,1,L,Lacy Brand,Lacy.Brand@mail.com
M,Some College,231227,NaN,N,E,Married,Y,Professional,1Low,Owner,South,2,I,Roy Lawrence,Roy.Lawrence@mail.com
F,,144359,NaN,N,C,Married,Y,Sales/Service,1Low,,South,8,D,Barbara Guidry,Barbara.Guidry@mail.com
F,<HS,468700,NaN,N,E,,U,Professional,1Low,Owner,Northeast,6,G,Ladawn Stafford,Ladawn.Stafford@mail.com
F,HS,104160,>65,N,D,,N,Retired,1Low,Owner,Midwest,3,E,Melinda Barnes,Melinda.Barnes@mail.com
M,Some College,0,NaN,Y,F,,U,Others,1Low,,Northeast,2,E,David Collins,David.Collins@mail.com
M,HS,45616,<=55,N,F,Married,Y,Sales/Service,1Low,Owner,Midwest,5,F,Hugh White,Hugh.White@mail.com
M,Some College,146332,<=45,Y,C,Married,Y,Professional,1Low,Owner,South,1,E,Cary Peterson,Cary.Peterson@mail.com
F,Grad,0,<=45,Y,A,Single,U,Sales/Service,1Low,,Midwest,3,H,Leona Ferguson,Leona.Ferguson@mail.com
M,Grad,571609,<=55,Y,B,Married,N,Professional,1Low,Renter,South,2,J,Robert Swanson,Robert.Swanson@mail.com
F,HS,0,NaN,N,E,,U,Retired,1Low,Owner,Midwest,9,F,Laura Fuller,Laura.Fuller@mail.com
F,Grad,221215,<=55,N,B,,N,Professional,1Low,,South,1,F,Eleanor Lee,Eleanor.Lee@mail.com
M,Grad,74937,>65,Y,H,Married,N,Retired,1Low,Owner,South,2,D,Michael Howard,Michael.Howard@mail.com
F,Grad,481180,<=65,Y,B,Married,N,Professional,2Med,Owner,Northeast,2,F,Dolores Armstrong,Dolores.Armstrong@mail.com
M,Bach,549360,<=55,Y,C,Married,Y,Professional,3High,Owner,Midwest,2,L,Gregory Wheeler,Gregory.Wheeler@mail.com
M,Bach,43600,<=55,Y,E,Married,U,Professional,2Med,Owner,Midwest,3,F,Oscar Kane,Oscar.Kane@mail.com
M,Some College,559170,<=25,N,E,,U,Others,2Med,Owner,Northeast,3,E,Keith Wiswell,Keith.Wiswell@mail.com
M,Some College,636374,<=45,N,B,Married,Y,Sales/Service,1Low,Owner,South,2,H,Kenneth Wilenkin,Kenneth.Wilenkin@mail.com
F,Bach,154671,<=45,Y,F,Married,Y,Blue Collar,1Low,Owner,Northeast,3,H,Elizabeth James,Elizabeth.James@mail.com
M,Grad,0,<=55,N,G,Married,N,Professional,1Low,,South,8,D,Thomas Rosas,Thomas.Rosas@mail.com
F,Some College,426735,<=55,Y,C,Married,Y,Professional,3High,Owner,West,2,I,Brittney Stewart,Brittney.Stewart@mail.com
M,Bach,1316338,<=45,N,E,Married,Y,Blue Collar,2Med,Owner,Northeast,1,B,Jeffrey Price,Jeffrey.Price@mail.com
F,<HS,0,>65,N,H,,N,Retired,1Low,Renter,Midwest,9,A,Anne Bishop,Anne.Bishop@mail.com
M,Some College,156425,<=35,Y,H,,N,Sales/Service,1Low,Owner,South,2,E,Rodney Snyder,Rodney.Snyder@mail.com
M,Some College,311827,<=55,Y,E,Married,N,Blue Collar,1Low,Owner,South,1,K,Emmanuel Harrison,Emmanuel.Harrison@mail.com
F,Some College,105424,<=55,Y,E,,Y,Sales/Service,1Low,Renter,Northeast,4,E,Juanita Hilliard,Juanita.Hilliard@mail.com
F,Bach,370698,<=35,Y,B,,U,Sales/Service,3High,Owner,West,1,F,Letha Spence,Letha.Spence@mail.com
M,Grad,180940,<=55,N,C,Married,Y,Professional,1Low,Owner,Midwest,1,D,David Voelkel,David.Voelkel@mail.com
F,Some College,351525,>65,Y,D,Married,N,Retired,1Low,Owner,South,6,E,Louise Hunt,Louise.Hunt@mail.com
M,Grad,180320,NaN,N,A,Single,U,Blue Collar,1Low,,Northeast,8,C,Richard Bush,Richard.Bush@mail.com
M,Some College,409698,<=55,Y,C,Married,Y,Professional,1Low,Owner,South,1,J,Bryon Wittner,Bryon.Wittner@mail.com
M,Some College,766379,<=55,Y,C,Married,Y,Sales/Service,1Low,Owner,West,1,L,Steven Horka,Steven.Horka@mail.com
