purchased,gender,education,house_val,age,online,customer_psy,marriage,child,occupation,mortgage,house_owner,region,car_prob,fam_income,name,email
N,M,<HS,0,NaN,N,A,Single,Y,Blue Collar,1Low,,South,7,D,Ernest Bruce,Ernest.Bruce@mail.com
Y,F,Grad,555464,<=35,Y,B,Married,U,Professional,3High,Owner,West,2,I,Jennifer Wright,Jennifer.Wright@mail.com
N,M,HS,59644,<=35,N,D,,Y,Blue Collar,1Low,Owner,South,8,A,Stephen Grosser,Stephen.Grosser@mail.com
Y,M,Grad,1856444,<=55,Y,C,Married,U,Professional,1Low,Owner,West,6,K,Norman Madden,Norman.Madden@mail.com
N,F,HS,260640,NaN,Y,B,,N,Others,2Med,Owner,West,5,D,Jennifer Pinkham,Jennifer.Pinkham@mail.com
N,M,<HS,205683,<=35,N,J,Married,U,Sales/Service,2Med,Owner,South,1,D,Fred Teague,Fred.Teague@mail.com
N,M,Some College,0,NaN,Y,E,Married,U,Professional,1Low,Renter,Midwest,5,C,Andrew Clifton,Andrew.Clifton@mail.com
N,M,<HS,363460,>65,Y,B,,N,Sales/Service,1Low,Owner,South,2,D,Michael Mcneil,Michael.Mcneil@mail.com
Y,M,Grad,455729,<=45,Y,C,Married,Y,Professional,1Low,Owner,South,1,J,Clyde Sims,Clyde.Sims@mail.com
N,M,Some College,0,NaN,N,A,Married,U,Professional,1Low,Renter,South,8,E,Milton Burns,Milton.Burns@mail.com
Y,M,Bach,898814,<=45,Y,C,Married,Y,Professional,3High,Owner,West,1,F,Daniel Olson,Daniel.Olson@mail.com
Y,M,Bach,89560,<=45,Y,A,Single,U,Sales/Service,1Low,Owner,Midwest,1,A,Virgil Ryder,Virgil.Ryder@mail.com
N,F,Some College,243603,<=35,Y,D,,N,Sales/Service,1Low,Owner,South,4,G,Amy Grimshaw,Amy.Grimshaw@mail.com
N,U,Some College,239560,NaN,N,A,,U,Professional,2Med,Owner,West,2,E,Joann Williams,Joann.Williams@mail.com
Y,M,HS,222212,NaN,Y,E,Married,Y,Others,2Med,Owner,Northeast,3,G,Larry Ellis,Larry.Ellis@mail.com
N,M,HS,131563,<=45,Y,E,Married,U,Blue Collar,1Low,Owner,Midwest,1,E,Mohammad Stroud,Mohammad.Stroud@mail.com
N,F,Some College,173340,>65,Y,D,Married,N,Sales/Service,1Low,Owner,South,2,E,Brooke Butler,Brooke.Butler@mail.com
Y,F,HS,129372,<=25,Y,E,Married,Y,Sales/Service,1Low,Owner,Northeast,4,F,Naomi Scungio,Naomi.Scungio@mail.com
N,M,HS,0,<=55,N,U,Married,0,Professional,1Low,,Midwest,0,U,Lloyd Luster,Lloyd.Luster@mail.com
N,M,Some College,154453,NaN,Y,F,,U,Professional,1Low,Owner,West,2,F,Otis Little,Otis.Little@mail.com
N,M,Some College,0,<=35,N,G,Single,U,Sales/Service,1Low,Owner,West,3,B,Joseph Lee,Joseph.Lee@mail.com
Y,M,Bach,185300,<=45,Y,C,Married,Y,Blue Collar,2Med,Owner,Midwest,1,G,James Farmer,James.Farmer@mail.com
Y,M,Some College,1096867,<=65,Y,B,Married,N,Professional,2Med,Owner,Northeast,1,H,Alvin Miles,Alvin.Miles@mail.com
N,U,<HS,502141,>65,Y,B,,N,Retired,1Low,Owner,South,1,J,Wilma Sheehan,Wilma.Sheehan@mail.com
Y,F,Grad,223450,<=65,Y,B,Married,Y,Professional,1Low,Owner,Midwest,1,G,Ethel Brown,Ethel.Brown@mail.com
N,M,Some College,0,NaN,N,F,Married,Y,Blue Collar,1Low,,South,9,C,Michael Spence,Michael.Spence@mail.com
N,M,Some College,261600,<=45,N,A,Married,U,Professional,1Low,Renter,South,1,E,Darren Browning,Darren.Browning@mail.com
N,F,HS,144664,<=55,Y,E,Single,N,Professional,1Low,Owner,Midwest,5,H,Juanita Osborn,Juanita.Osborn@mail.com
Y,M,Bach,561840,<=65,Y,B,Married,N,Professional,1Low,Owner,Northeast,1,F,Henry Jones,Henry.Jones@mail.com
Y,F,Bach,335403,NaN,Y,C,Married,Y,Sales/Service,1Low,,West,6,K,Kelly Sheller,Kelly.Sheller@mail.com
N,F,Bach,412020,>65,Y,D,Married,N,Retired,1Low,Owner,West,3,C,Grace Shepard,Grace.Shepard@mail.com
Y,M,Grad,558494,<=65,Y,B,Married,Y,Professional,1Low,Owner,South,1,L,Michael Haskin,Michael.Haskin@mail.com
Y,F,Bach,151467,<=35,Y,C,Married,Y,Sales/Service,1Low,Owner,South,3,E,Tracy Allard,Tracy.Allard@mail.com
Y,M,Some College,1256225,NaN,Y,B,Married,N,Sales/Service,3High,Owner,West,1,L,Leonard Keith,Leonard.Keith@mail.com
Y,M,Some College,174400,<=25,Y,B,,Y,Sales/Service,1Low,Owner,Midwest,2,F,Ronald Lee,Ronald.Lee@mail.com
N,F,<HS,0,<=35,N,E,Single,Y,Sales/Service,1Low,Renter,West,9,A,Nancy Foster,Nancy.Foster@mail.com
N,F,<HS,0,NaN,N,G,Single,U,Sales/Service,1Low,Renter,West,9,C,Susan Cowell,Susan.Cowell@mail.com
Y,F,HS,106275,<=55,Y,F,Married,N,Blue Collar,1Low,Owner,Northeast,3,F,Betty Taylor,Betty.Taylor@mail.com
Y,M,Bach,0,<=65,N,E,Single,Y,Professional,1Low,Renter,Midwest,9,D,Sean Wilson,Sean.Wilson@mail.com
Y,F,Bach,428697,<=55,Y,C,Married,Y,Professional,1Low,Owner,West,2,J,Sandra Begay,Sandra.Begay@mail.com
Y,M,Bach,500397,<=65,Y,B,Married,N,Professional,3High,Owner,South,3,H,Alfredo Finley,Alfredo.Finley@mail.com
N,F,HS,67667,NaN,N,E,Married,Y,Sales/Service,1Low,Renter,Midwest,9,B,Princess Roman,Princess.Roman@mail.com
N,M,HS,33190,<=25,Y,F,Married,N,Others,1Low,Owner,South,6,G,Sam Labarre,Sam.Labarre@mail.com
N,M,<HS,0,NaN,N,G,Single,Y,Sales/Service,1Low,Renter,South,9,F,Leo Soileau,Leo.Soileau@mail.com
N,F,Some College,45344,>65,Y,I,Married,N,Sales/Service,1Low,Owner,South,6,A,Hope Williams,Hope.Williams@mail.com
